"国","日付","タイトル（日本語）","内容（日本語）","出展サイト","画像URL","URL"
"日本","2026-02-24","VW初の電動GTI『ID.ポロGTI』量産プロトタイプ確認","フォルクスワーゲンが開発中の電動GTI『ID.ポロGTI』の量産型プロトタイプをキャッチ。最高出力226馬力、52kWhバッテリー搭載。スポーツデザインと10.25インチデジタルインストルメントクラスターを備える。","レスポンス","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260225-00000005-rps-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/c6542f12c4d74d33d4a19feb87ec1a7144337193?source=rss"
"日本","2026-02-24","AT免許で乗れるホンダ1100ccビッグバイク3選","ホンダのDCT搭載「レブル1100」シリーズは、AT限定大型免許でも乗れる。131万4500円からで、スタンダード・ツーリング・カスタム仕様が選べる。","VAGUE","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-10401610-vague-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/eab9f84cf65a7f2411cce939e09b5567526be016?source=rss"
"日本","2026-02-24","ダイハツ「ミライース tuned by D-SPORT Racing」、64馬力ターボ搭載で話題","2026年1月9日、東京オートサロンで発表されたダイハツ「ミライース tuned by D-SPORT Racing」は、64馬力ターボエンジンと6点式ロールケージを標準装備。軽量ボディに5速MTを搭載し、走り特化型ながら日常使用も可能。ディーラーで問い合わせ殺到中。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260225-01020650-kurumans-000-3-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/74f13216b593039b62c00e6c2e1918fec70d91e3?source=rss"
"日本","2026-02-24","BYD新型軽ワゴン「ラッコ」、2026年夏発売へ","BYDが2026年夏発売予定の軽EV「ラッコ」。航続距離300km超（ロングレンジ仕様）で、日本市場への参入に反響。価格と信頼性が課題だが、国産メーカーへの刺激となりそうだ。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01019683-kurumans-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/d698c51187d66c249e13ea9d9e3ac9a109023819?source=rss"
"日本","2026-02-24","トヨタ、GRヤリス「オジエ9xワールドチャンピオンED」100台限定発売","2026年1月22日、トヨタはGRヤリスの限定車「セバスチャン・オジエ 9x ワールドチャンピオンED」を発表。首都圏のディーラーで問い合わせが相次ぎ、100台限定で販売。専用「SEB.」モードと「MORIZO」モードを搭載。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01019788-kurumans-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/1eea1df7206adbd608587e40826a8c8694231190?source=rss"
"日本","2026-02-24","NATSがコペンベースでスープラ再現 東京オートサロン2026で話題","日本自動車大学校（NATS）が東京オートサロン2026で、コペンをベースに660ccの「C91スパイダー」を展示。映画『ワイルド・スピード』のスープラを再現し、オーバーフェンダー・大型リアウイングで迫力あるカスタムを披露。来場者から高い評価を得た。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01020741-kurumans-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/aff00ad26ddee56d4c30ff1b88ddc9475126c81b?source=rss"
"日本","2026-02-24","ダイハツ「ワル・ムーヴ」大阪オートメッセ2026で公開","2026年2月、インテックス大阪で展示された「ムーヴ クロメキ」は、マットブラック仕様とフォージドカーボンで高級感を演出。ターゲット層広く、市販化検討中。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01019314-kurumans-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/b5d33d8f08f3ac0faef139b67ca8362175e96d63?source=rss"
"日本","2026-02-24","レクサスLSコンセプト、6輪レイアウトで市販化へ","レクサスはJMS2025で公開したLSコンセプトを、前2輪・後4輪の6輪レイアウトと回転シートで特徴づけ、BEV化も視野に量産化を狙う。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01020891-kurumans-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/629d610671a2126866984ec6c1b35308c144a61b?source=rss"
"日本","2026-02-24","日産新型「シルフィ」中国2/24発売、価格10.49～11.99万元","日産新型「シルフィ」が2026年2月24日に中国で発売。価格は10.49～11.99万元（約237.6～271.5万円）で、期間限定1万元割引あり。全長4.65m、デジタルVモーションフェイス採用。北米と同様にガソリンモデルのみ。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01021191-kurumans-000-2-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/88d77f210f5ee2f6d895795483028f310ad5542e?source=rss"
"日本","2026-02-24","トヨタGRヘリテージパーツ、約300点復刻","トヨタGAZOOレーシングが2019年からGRブランド祖先車のパーツを約300点復刻。AE86が中心で、価格は赤字にならないギリギリ設定。ノスタルジック2デイズ2026で展示。","AUTOCAR JAPAN","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260224-01221918-autocar-000-3-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/de16739acb609b5d0d467d11ea1a3f12c819e7ed?source=rss"
